constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
MATURATION_BASE_GROWTH_RATE,50.0,EOH capacity per year; EOH capacity per TEH^exponent; dimensionless,placeholder,,core/capital.maturation_update — capacity_delta = BASE_GROWTH × years + EDU_COEFFICIENT × investment**EDU_EXPONENT × (1 + MATURATION_AUTO_LEVERAGE × ε) BASE_GROWTH is maturation without schooling; the education arm has diminishing returns via the exponent.,Capital and asset lifecycle,,,"as for MATURATION_EDU_* — PIAAC proficiency by age for adults at a FIXED level of completed education, which isolates ageing from schooling.",,,,,,the schooling-free arm — maturation that happens with age alone. Migrated from core/capital.py 2026-08-27 as a shadow constant.
MATURATION_EDU_COEFFICIENT,5.0,EOH capacity per TEH^exponent; dimensionless,placeholder,,the education arm of maturation_update — EDU_COEFFICIENT × investment**EDU_EXPONENT × (1 + MATURATION_AUTO_LEVERAGE × ε),Capital and asset lifecycle,,,"returns to schooling measured as CAPACITY, not earnings — earnings embed the wage structure this framework replaces, so a Mincer coefficient is the WRONG INSTRUMENT here for the same reason BLS Employee Tenure was wrong for SKILL_WORKING_LIFE_YEARS. FIELD: PIAAC numeracy and literacy proficiency by years of education — capability measured directly.",,,,,,"EDU_EXPONENT = 0.5 is a SQUARE ROOT, the strongest diminishing return short of a logarithm, and it is the term deciding whether education investment ever saturates. Pinned by SHAPE (test_capital.TestMaturationShape), not level. Both migrated from core/capital.py 2026-08-27 as shadow constants."
MATURATION_EDU_EXPONENT,0.5,EOH capacity per TEH^exponent; dimensionless,placeholder,,the education arm of maturation_update — EDU_COEFFICIENT × investment**EDU_EXPONENT × (1 + MATURATION_AUTO_LEVERAGE × ε),Capital and asset lifecycle,,,"returns to schooling measured as CAPACITY, not earnings — earnings embed the wage structure this framework replaces, so a Mincer coefficient is the WRONG INSTRUMENT here for the same reason BLS Employee Tenure was wrong for SKILL_WORKING_LIFE_YEARS. FIELD: PIAAC numeracy and literacy proficiency by years of education — capability measured directly.",,,,,,"EDU_EXPONENT = 0.5 is a SQUARE ROOT, the strongest diminishing return short of a logarithm, and it is the term deciding whether education investment ever saturates. Pinned by SHAPE (test_capital.TestMaturationShape), not level. Both migrated from core/capital.py 2026-08-27 as shadow constants."
CAPITAL_MACHINE_PROFILES,<dict: 11 keys>,"EOH eliminated per TEH of capital per year; TEH per capita; years; condition ∈ [0,1]",placeholder,,,Capital and asset lifecycle,,,"measured EOH-elimination rates per capital class — the labour-hours a unit of each capital type actually displaces per year. This is the same instrument the food conservation test used at one stage (scenarios/food_conservation.py found a 62× collapse in production labour), so the method is proven and the coverage is what is missing. Note research/thermal_capital.py already treats the same inventory as dual-output; a measured pass should settle both fields at once.",,,,,,"CALIBRATED TO A TARGET, on its own admission — the tiers were set so that ""standard"" across all types totals ~2000 TEH/person (matching CAPITAL_STOCK_DEFAULT) and implies ε ≈ 0.18, with ""advanced"" implying ε ≈ 0.48, so the table brackets the mid-arc by construction. That makes ε emergent from a capital stock whose profile was chosen to produce the ε expected of it. The circularity is documented, not resolved."
COND_DECAY_SLOPE,0.7,fraction of condition (slope over full design life; floor level),placeholder,,"linear decay to a floor. Physics in one respect — an end-of-life asset is degraded but still operational, so the floor must be above zero (full write-down is a separate explicit event via execute_writedown). The linearity is a simplification; real condition curves are convex.",Capital and asset lifecycle,,,"measured condition ratings against age by asset class. Bridge inventories publish exactly this (the NBIS condition data behind INFRA_TREATMENT_HOURS_* is the same source), so this is reconcilable against data the repo already reaches for elsewhere.",,,,,,
COND_DECAY_FLOOR,0.3,fraction of condition (slope over full design life; floor level),placeholder,,"linear decay to a floor. Physics in one respect — an end-of-life asset is degraded but still operational, so the floor must be above zero (full write-down is a separate explicit event via execute_writedown). The linearity is a simplification; real condition curves are convex.",Capital and asset lifecycle,,,"measured condition ratings against age by asset class. Bridge inventories publish exactly this (the NBIS condition data behind INFRA_TREATMENT_HOURS_* is the same source), so this is reconcilable against data the repo already reaches for elsewhere.",,,,,,
ENV_MONITORING_SATURATION_TEH_PER_CAPITA,500.0,TEH per capita of environmental-monitoring capital,placeholder,,,Capital and asset lifecycle,,,"an observed relationship between monitoring investment and detected fraction of ecological deferral. This constant governs how much deferred ecological EOH is VISIBLE, so it sets what the ledger can see rather than what is there — the honest pointer is a detection-rate study, and until then monitoring capability is an assumption about the framework's own eyesight.",,,,,,
ESSENTIAL_DOMAINS,<list: 7 items>,list of domain names,normative,,"physics-adjacent — a civilization does have a set of functions whose failure is not survivable, so the CATEGORY is structural. Which seven, and the fact that there are seven, is not.",Labor and Condition IV,,,,"a criticality analysis for the jurisdiction being modelled — national critical-infrastructure sector designations are the nearest external analogue, and they do not agree with each other on the list either.",,,,,
COMPETENCY_THRESHOLD,0.155,fraction of workforce certified per essential domain,placeholder,,,Labor and Condition IV,,,"an observed relationship between practitioner density and recovery time from a domain outage. The Mission Statement asserts 15.5%; the three significant figures imply a precision nothing supplies, which is itself the tell. Workforce composition series plus outage post-mortems would settle it.",,,,,,
H_MIN,260,hours per year,placeholder,,"5 h/wk × 52 wk. Below some floor a practitioner stops maintaining competency, which is structural; the level is the choice.",Labor and Condition IV,,,"measured skill-retention against practice hours by domain — the currency-of-practice literature in aviation and surgery measures exactly this and reports domain-specific thresholds, which is the point: one economy-wide 260 cannot be right for both a surgeon and a farmhand.",,,,,,
H_MIN_ALLOCATION,<dict: 3 keys>,"fractions of H_MIN, summing to 1.0",normative,,,Labor and Condition IV,,,,a charter decision on how the minimum obligation is apportioned. The three-way split is a policy design; nothing measures it.,,,,,
M_BAND_LOW,1.8,dimensionless multiplier,normative,,physics-adjacent in one respect only — a band must EXIST for Condition II to be checkable. Where its edges sit is not implied by that.,Multipliers — constitutional band (Condition II),,,,"a charter decision on the tolerable spread of labour valuation. The measured route now exists and disagrees usefully: the O*NET/BLS reference multiplier (mult-5.1.0) produces a population-weighted mean from measured factors, and handoffs/multipliers-v5/FALSIFIABILITY.md records that the band PASS is a construction artifact of the normalization (±2.8× across normalizations) with no empirical content. So the band cannot be validated against the measurement — it can only be chosen and then honoured.",,,,,
M_BAND_HIGH,2.1,dimensionless multiplier,normative,,physics-adjacent in one respect only — a band must EXIST for Condition II to be checkable. Where its edges sit is not implied by that.,Multipliers — constitutional band (Condition II),,,,"a charter decision on the tolerable spread of labour valuation. The measured route now exists and disagrees usefully: the O*NET/BLS reference multiplier (mult-5.1.0) produces a population-weighted mean from measured factors, and handoffs/multipliers-v5/FALSIFIABILITY.md records that the band PASS is a construction artifact of the normalization (±2.8× across normalizations) with no empirical content. So the band cannot be validated against the measurement — it can only be chosen and then honoured.",,,,,
M_BAND_TARGET,2.1,dimensionless multiplier,normative,,physics-adjacent in one respect only — a band must EXIST for Condition II to be checkable. Where its edges sit is not implied by that.,Multipliers — constitutional band (Condition II),,,,"a charter decision on the tolerable spread of labour valuation. The measured route now exists and disagrees usefully: the O*NET/BLS reference multiplier (mult-5.1.0) produces a population-weighted mean from measured factors, and handoffs/multipliers-v5/FALSIFIABILITY.md records that the band PASS is a construction artifact of the normalization (±2.8× across normalizations) with no empirical content. So the band cannot be validated against the measurement — it can only be chosen and then honoured.",,,,,
MEAN_MULTIPLIER_REFERENCE,1.99641978545,dimensionless multiplier,measured,B,"the employment-weighted mean of the O*NET 30.3/BLS reference registry — 751 occupations, 94.2% of US employment, one weight per occupation (reference.onet_multipliers.registry_segments). Bound by TEST, not by expression: data.py sits below reference/ and cannot import it, the same constraint AGE_WEIGHT_ELDERLY and GUF_ECO_KAPPA_CARBON are bound under. TestMeasuredMeanIsBoundToTheRegistry fails whichever side moves alone.",Multipliers — constitutional band (Condition II),,,an O*NET/BLS vintage refresh moves it mechanically; a non-US occupational registry would test whether 1.9964 travels.,,,,,,"TIER B — the registry is a large, well-sourced measurement, but it is US employment, and handoffs/multipliers-v5/FALSIFIABILITY.md records that the BAND pass is a construction artifact of the normalization (±2.8× across normalizations). So this value is evidence about the workforce and is NOT evidence that the band is right; it lands inside [1.8, 2.1] on its own terms, which is a result rather than a construction, and that is the whole of what it establishes."
M_MAX,6.0,dimensionless multiplier,normative,,"physics — a hard cap must exist, or TEH accumulation is unbounded in the tier dimension. Its LEVEL is the choice.",Multipliers — constitutional band (Condition II),,,,"a charter decision on maximum permitted labour-valuation inequality. 6.0 is a 6:1 ratio against the floor; that is the substantive commitment and it should be argued as a distributional limit, not derived.",,,,,
ALPHA_SCALE,5.0,dimensionless (sum of the four alpha coefficients),derived,,"Σαᵢ = M_MAX − 1, so that perfect scores on all four factors land exactly on the cap. Genuinely computed from M_MAX rather than pinned — it moves when the cap moves.",Multipliers — constitutional band (Condition II),,,"n/a — it inherits M_MAX's standing, which is CHOSEN. Nothing additional is owed here beyond settling the cap.",,,,,,
ALPHA_IMPACT_EOH_REDUCTION_WEIGHT,0.4,fraction,normative,,derived only in that the three weights are constrained to sum to 1.0.,Multipliers — constitutional band (Condition II),,,,"nothing measures the relative importance of EOH reduction, domain breadth and reserve capacity against each other — it is a judgement about what the collective values in a role. Sweep it: scenarios/multiplier_sensitivity.py already provides the harness, and the shipped sweep is ±0.10 per weight.",,,,,
ALPHA_IMPACT_DOMAIN_COVERAGE_WEIGHT,0.35,fraction,normative,,derived only in that the three weights are constrained to sum to 1.0.,Multipliers — constitutional band (Condition II),,,,"nothing measures the relative importance of EOH reduction, domain breadth and reserve capacity against each other — it is a judgement about what the collective values in a role. Sweep it: scenarios/multiplier_sensitivity.py already provides the harness, and the shipped sweep is ±0.10 per weight.",,,,,
ALPHA_IMPACT_RESILIENCE_WEIGHT,0.25,fraction,normative,,derived only in that the three weights are constrained to sum to 1.0.,Multipliers — constitutional band (Condition II),,,,"nothing measures the relative importance of EOH reduction, domain breadth and reserve capacity against each other — it is a judgement about what the collective values in a role. Sweep it: scenarios/multiplier_sensitivity.py already provides the harness, and the shipped sweep is ±0.10 per weight.",,,,,
M_FLOOR,1.0,dimensionless multiplier,normative,,the constitutional floor of the geometric map — one hour of the least demanding registered labour mints exactly one TEH.,Multipliers — measured geometric map (mult-5.1.0),,,,"a charter decision on the floor. It is arguably the framework's cleanest normative commitment (an hour is an hour at the floor) and needs no measurement — but it is a commitment, not a measured minimum.",,,,,
M_GEOMETRIC_R,3.2,dimensionless ratio,derived-then-FROZEN,,"solved once at the reference epoch from {M_FLOOR, the band, the measured composite distribution} so that the mapped mean lands in the band.",Multipliers — measured geometric map (mult-5.1.0),,,"an O*NET/BLS vintage refresh re-solves it mechanically. It is NOT a knob — re-deriving it per vintage restores the circularity the freeze exists to break. Note the consequence recorded in handoffs/multipliers-v5/ FALSIFIABILITY.md: because R is solved to make the band pass, the band pass carries no empirical content. The rank ordering and pairwise ratios do.",,,,,,
M_COMPOSITE_Z_LO,0.153073096218,"composite score, dimensionless",derived-then-FROZEN,,"the observed composite range at the reference epoch, used to normalize z = clip((composite − Z_LO)/(Z_HI − Z_LO), 0, 1).",Multipliers — measured geometric map (mult-5.1.0),,,an O*NET/BLS vintage refresh. Frozen for the same reason as R.,,,,,,
M_COMPOSITE_Z_HI,0.740198609448,"composite score, dimensionless",derived-then-FROZEN,,"the observed composite range at the reference epoch, used to normalize z = clip((composite − Z_LO)/(Z_HI − Z_LO), 0, 1).",Multipliers — measured geometric map (mult-5.1.0),,,an O*NET/BLS vintage refresh. Frozen for the same reason as R.,,,,,,
M_FACTOR_WEIGHTS,"(0.3, 0.25, 0.2, 0.25)",fraction,normative,,,Multipliers — measured geometric map (mult-5.1.0),,,,no measurement stands behind the split between the four assessment factors — it is what the collective decides a labour-hour's value turns on. Sweep ±0.10 each; scenarios/multiplier_sensitivity.py runs it and reports that rank ordering survives while absolute levels do not.,,,,,
M_IMPACT_SUBDOMAIN_WEIGHTS,"(0.3, 0.25, 0.25, 0.2)",fraction,normative,,,Multipliers — measured geometric map (mult-5.1.0),,,,"as for M_FACTOR_WEIGHTS — a governance judgement, swept not fitted.",,,,,
M_IMPACT_COMPOSITE_LO,0.331749422563,"impact composite score, dimensionless",derived-then-FROZEN,,the observed impact-composite range at the reference epoch; the impact composite is affine outer-normalized against these bounds.,Multipliers — measured geometric map (mult-5.1.0),,,an O*NET/BLS vintage refresh.,,,,,,
M_IMPACT_COMPOSITE_HI,0.751958294388,"impact composite score, dimensionless",derived-then-FROZEN,,the observed impact-composite range at the reference epoch; the impact composite is affine outer-normalized against these bounds.,Multipliers — measured geometric map (mult-5.1.0),,,an O*NET/BLS vintage refresh.,,,,,,
M_EPOCH_WEIGHT_ANCHORS,<dict: 4 keys>,"fraction, per ε anchor",normative,,,Multipliers — measured geometric map (mult-5.1.0),,,,"the ε-dependence of the weighting is a governance judgement, not a measurement. The DIRECTION is argued (training matters less as skills stop being scarce; impact matters more as fewer hours carry more consequence); the four anchor vectors are illustrative.",,,,,
GOVERNANCE_MIN_ASSESSORS,3,count of assessors,normative,,,Multiplier governance and anti-gaming safeguards,,,,"a charter decision on panel size. Three is the smallest panel that can break a tie, which is an argument rather than a measurement; sortition literature on minimum panel size for stable outcomes would strengthen it.",,,,,
GOVERNANCE_IRR_WARN_THRESHOLD,0.7,inter-rater reliability coefficient,bounded,,the WARN/CRIT pair on assessment agreement.,Multiplier governance and anti-gaming safeguards,"the conventional inter-rater agreement reading — κ ≥ 0.80 good, 0.67–0.80 tentative, below 0.67 unreliable (Krippendorff; Landis–Koch)","LOW. Both thresholds sit BELOW the conventional bar — 0.70 WARN against a 0.80 'good' line, 0.50 CRIT against 0.67 'unreliable' — so the gate is more permissive than the literature would set it. That is the unsafe direction for assessment quality, and it should be argued or tightened.","convention exists and is close at hand — these sit near the established Krippendorff/Cohen κ reading (≥0.80 good, 0.67–0.80 tentative, below that unreliable). Adopting a cited standard would move both to `convention`; as written they are the framework's own rounder numbers.",,,,,,
GOVERNANCE_IRR_CRIT_THRESHOLD,0.5,inter-rater reliability coefficient,bounded,,the WARN/CRIT pair on assessment agreement.,Multiplier governance and anti-gaming safeguards,"the conventional inter-rater agreement reading — κ ≥ 0.80 good, 0.67–0.80 tentative, below 0.67 unreliable (Krippendorff; Landis–Koch)","LOW. Both thresholds sit BELOW the conventional bar — 0.70 WARN against a 0.80 'good' line, 0.50 CRIT against 0.67 'unreliable' — so the gate is more permissive than the literature would set it. That is the unsafe direction for assessment quality, and it should be argued or tightened.","convention exists and is close at hand — these sit near the established Krippendorff/Cohen κ reading (≥0.80 good, 0.67–0.80 tentative, below that unreliable). Adopting a cited standard would move both to `convention`; as written they are the framework's own rounder numbers.",,,,,,
SCARCITY_ROLLING_WINDOW,3,periods,placeholder,,"physics-adjacent — SOME smoothing is structurally required, because scarcity is endogenous to the multiplier that responds to it and an unsmoothed feedback oscillates. The window LENGTH is the choice.",Multiplier governance and anti-gaming safeguards,,,the observed autocorrelation of occupational vacancy series. BLS JOLTS measures exactly this and is not yet ingested; three periods is the framework's assertion about how long the oscillation is.,,,,,,
SCARCITY_SUPPLY_LAG_YEARS,3,years,bounded,,,Multiplier governance and anti-gaming safeguards,"weeks to ~10 years across occupations (O*NET job-zone training times, already shipped in reference/data/)","WITHHELD. A single economy-wide lag cannot err in one direction when the true quantity is per-occupation and spans two orders of magnitude. 3 years is implausibly uniform, and the honest fix is to make it per-occupation rather than to move the point.","measured time from a wage/valuation signal to a completed training pipeline, by occupation. Programme lengths are published (O*NET job-zone training times are already shipped in reference/data/), so this is one of the more readily settled constants in the block — and three years is implausibly uniform across occupations that range from weeks to a decade.",,,,,,
SCARCITY_SEVERE_THRESHOLD,0.8,"normalized scarcity score ∈ [0,1]",normative,,,Multiplier governance and anti-gaming safeguards,,,,"a charter decision on when scarcity becomes an emergency worth naming. It gates a label, not an allocation.",,,,,
TRAINING_VALIDATION_TOLERANCE,1.5,ratio of mandated to median observed training duration,placeholder,,the anti-gaming test — a credential mandating far more training than practitioners actually needed is rent extraction wearing a training claim.,Multiplier governance and anti-gaming safeguards,,,"the distribution of mandated-vs-actual training ratios across licensed occupations. O*NET training data plus licensure requirements would give the empirical spread, and the tolerance should sit at its upper tail rather than at a round 1.5.",,,,,,
ARTIFICIAL_SCARCITY_PASS_RATE_FLOOR,0.3,fraction,placeholder,,the pass-rate floor and the quality differential that can excuse falling below it — a gate is artificial unless the failures are really unqualified.,Multiplier governance and anti-gaming safeguards,,,"observed licensure pass rates paired with a measured competency differential between passers and failers. Board pass rates are published; the competency half is the missing instrument, and without it the excuse cannot be tested — only asserted.",,,,,,
ARTIFICIAL_SCARCITY_QUALITY_THRESHOLD,0.2,fraction,placeholder,,the pass-rate floor and the quality differential that can excuse falling below it — a gate is artificial unless the failures are really unqualified.,Multiplier governance and anti-gaming safeguards,,,"observed licensure pass rates paired with a measured competency differential between passers and failers. Board pass rates are published; the competency half is the missing instrument, and without it the excuse cannot be tested — only asserted.",,,,,,
TIER_ASSESSMENT_INTERVAL_YEARS,5,years,normative,,"the sunset clock — a tier assessment that never expires becomes a property right, which is the failure mode notes/historical-autopsy.md names.",Multiplier governance and anti-gaming safeguards,,,,"a charter decision on revalidation cadence, with abundant precedent in professional recertification cycles (commonly 2–10 years). Several other constants are pinned to it (CONTESTABILITY_VESTING_YEARS), so moving it moves them.",,,,,
DEFAULT_SEGMENTS,<list: 4 items>,fractions of workforce and dimensionless multipliers,placeholder,,,Multiplier governance and anti-gaming safeguards,,,"nothing further — the measured path replaced it 2026-08-16. `registry_segments()` (O*NET 30.3/BLS, 751 occupations, 94.2% of US employment) is now the default in core/multipliers.py and core/dashboard.py; this list survives only as the synthetic comparison, reachable by passing it explicitly. WHAT THE SWAP FOUND: the default mean moved 2.100 -> 1.9964 (-4.93%) and NOT ONE TEST FAILED. The Condition II baseline — the quantity this whole block exists to govern — was entirely unpinned, exactly as GUF_PSI_NORM's fee-curve peak was. TestMeasuredWorkforceIsTheDefault is now that pin. The measured mean sits INSIDE [1.8, 2.1] on its own evidence, where the synthetic set sat exactly ON the 2.10 ceiling because it was built to. A default calibrated to the target it is checked against cannot test anything, which is why ""in_band: True"" meant strictly less before this change than after it.",,,,,hours_eoh.reference.onet_multipliers.registry_segments,"CALIBRATED TO A TARGET — the segment means were set so the weighted mean lands on 2.10, the top of the constitutional band, at ε=0. Same class as the GUF_USE_* rates: a value reverse-engineered from a desired outcome. ON THE THIRD MODULE NAMED IN baseline_in: scenarios/measured.py names this constant in module prose only, never in code. `operative_consumers` matches source TEXT, so it over-counts — the safe direction for a gate, so the module is declared rather than the matcher loosened. It earned its keep immediately: it caught that measured.py's layer paragraph still asserted ""DEFAULT_SEGMENTS remains the core default"" after that stopped being true."
CARE_SIGMOID_DEFAULTS,"{'start_share': 0.05, 'inflection': 0.45, 'rate': 8.0, 'saturation': 0.95}",start_share/saturation fractions; inflection in ε; rate dimensionless,placeholder,,"physics-adjacent in shape only — admission to a collective ledger plausibly follows slow onset, mid-range acceleration and saturation below 1.0 (some care stays informal at any automation level). Every one of the four numbers is asserted.",Registration sigmoids,,,"the measured formal/informal split of care labour against an automation index — the share of care hours that pass through a paid or recorded channel. ATUS separates household care from paid care and is now partly ingested (reference/atus_time_use.py), so the start_share is the most nearly reachable of the four; the inflection needs a cross-country panel.",,,,,,"docs/parameter_provenance.md's Registration table still lists start_share 0.30 and inflection 0.55 against the 0.05 and 0.45 shipped here — caught by this migration, corrected in the generated table."
PRODUCTION_SIGMOID_DEFAULTS,"{'base': 0.15, 'growth': 0.84, 'rate': 20.0, 'inflection': 0.1}",base/growth fractions; inflection in ε; rate dimensionless,placeholder,,base + growth × logistic(rate × (ε − inflection)). Physics-adjacent in SHAPE only: admission plausibly follows slow onset then acceleration. The four numbers are asserted.,Registration sigmoids,,,"the share of production hours passing through a recorded channel, against an automation index — the same instrument the care sigmoid needs, read on a different labour category.",,,,,,"the base carries a written physical argument (min3, resolved) that the others do not — organised trade and grain accounting exist at subsistence but are a minority of production labour, giving ~25% total registration at ε=0 rather than the 70% an earlier value implied."
STEWARDSHIP_SIGMOID_DEFAULTS,"{'base': 0.05, 'growth': 0.9, 'rate': 10.0, 'inflection': 0.4}",base/growth fractions; inflection in ε; rate dimensionless,placeholder,,base + growth × logistic(rate × (ε − inflection)).,Registration sigmoids,,,"the recorded share of communal maintenance labour — shared wells, paths, drainage — against an automation index.",,,,,,"the rate was RAISED from 6.0 to 10.0 to hold logistic(0) ≈ 0.018, so the ε=0 value stays near the floor instead of contributing a spurious 8% baseline. That makes it a tuned value, and until this migration it was invisible to the shadow-constant scan because 10.0 sits in the `utils.provenance._INNOCUOUS` set while its two siblings here were counted."
